image_id,angle,speed
1.png,0.4375,0.0
2.png,0.8125,1.0
3.png,0.4375,1.0
4.png,0.625,1.0
5.png,0.5,0.0
6.png,0.125,1.0
7.png,0.75,0.0
8.png,0.5,1.0
9.png,0.5,0.0
10.png,0.5,0.0
11.png,0.6875,0.0
12.png,0.625,1.0
13.png,0.4375,0.0
14.png,0.875,1.0
15.png,0.625,1.0
16.png,0.5,1.0
17.png,0.75,1.0
18.png,0.75,1.0
19.png,0.6875,0.0
20.png,0.625,0.0
21.png,0.625,1.0
22.png,0.3125,0.0
23.png,0.75,1.0
24.png,0.75,1.0
25.png,0.5,1.0
26.png,0.6875,1.0
27.png,0.625,1.0
28.png,0.75,1.0
29.png,0.5,0.0
30.png,0.4375,1.0
31.png,0.4375,1.0
32.png,0.5625,0.0
33.png,0.8125,1.0
34.png,0.875,0.0
35.png,0.5,1.0
36.png,0.4375,1.0
37.png,0.625,1.0
38.png,0.6875,0.0
39.png,0.5625,1.0
40.png,0.5,1.0
41.png,0.75,1.0
42.png,0.5,1.0
43.png,0.8125,1.0
44.png,0.6875,1.0
45.png,0.5,1.0
46.png,0.6875,1.0
47.png,0.75,0.0
48.png,0.6875,1.0
49.png,0.8125,1.0
50.png,0.4375,1.0
51.png,0.6875,0.0
52.png,0.625,1.0
53.png,0.8125,1.0
54.png,0.3125,0.0
55.png,0.6875,1.0
56.png,0.8125,1.0
57.png,0.6875,1.0
58.png,0.5625,1.0
59.png,0.5625,1.0
60.png,0.625,0.0
61.png,0.4375,1.0
62.png,0.6875,1.0
63.png,0.75,1.0
64.png,0.625,1.0
65.png,0.6875,1.0
66.png,0.5625,1.0
67.png,0.3125,1.0
68.png,0.75,1.0
69.png,0.6875,1.0
70.png,0.625,1.0
71.png,0.5625,1.0
72.png,0.625,1.0
73.png,0.6875,1.0
74.png,0.6875,1.0
75.png,0.6875,1.0
76.png,0.75,1.0
77.png,0.75,1.0
78.png,0.5625,1.0
79.png,0.8125,1.0
80.png,0.75,1.0
81.png,0.625,1.0
82.png,0.875,1.0
83.png,0.625,1.0
84.png,0.375,1.0
85.png,0.125,1.0
86.png,0.4375,0.0
87.png,0.6875,1.0
88.png,0.4375,1.0
89.png,0.5,0.0
90.png,0.25,1.0
91.png,0.8125,1.0
92.png,0.5,1.0
93.png,0.75,0.0
94.png,0.5625,0.0
95.png,0.375,1.0
96.png,0.75,1.0
97.png,0.6875,1.0
98.png,0.625,0.0
99.png,0.5625,1.0
100.png,0.5,1.0
